path,code,name,shape,shape_class
/content/drive/MyDrive/img/200002985/200002985_90.jpg,200002985,액소도스정,원형,5
/content/drive/MyDrive/img/201310207/201310207_21.jpg,201310207,명문아스피린장용정100mg,원형,5
/content/drive/MyDrive/img/200807552/200807552_32.jpg,200807552,메가백정,타원형,8
/content/drive/MyDrive/img/200802513/200802513_37.jpg,200802513,라이켄캡슐500mg,장방형,7
/content/drive/MyDrive/img/201210591/201210591_65.jpg,201210591,에이에스피장용정100mg,원형,5
/content/drive/MyDrive/img/200302266/200302266_57.jpg,200302266,두배락캡슐,장방형,7
/content/drive/MyDrive/img_pentagon/202000407/202000407_1.jpg,202000407,리키롤정1밀리그램,오각형,4
/content/drive/MyDrive/img_six/201204975/201204975_42.jpg,201204975,비아맥스정100밀리그램,육각형,6
/content/drive/MyDrive/img/200710167/200710167_50.jpg,200710167,아이비즈연질캡슐,삼각형,3
/content/drive/MyDrive/img_six/201206020/201206020_27.jpg,201206020,비야정100mg,육각형,6
/content/drive/MyDrive/img_pentagon/201403623/201403623_17.jpg,201403623,시메리딘정,오각형,4
/content/drive/MyDrive/img/200806856/200806856_31.jpg,200806856,조인콘사민연질캡슐,장방형,7
/content/drive/MyDrive/img_six/201603113/201603113_23.jpg,201603113,넥스디핀정2,육각형,6
/content/drive/MyDrive/img_square/202200501/202200501_9.jpg,202200501,데팍신서방정25밀리그램,사각형,2
/content/drive/MyDrive/img/202002568/202002568_41.jpg,202002568,요모겐트로키,기타,0
/content/drive/MyDrive/img_square/201504521/201504521.jpg,201504521,예스그라구강용해필름20밀리그램,사각형,2
/content/drive/MyDrive/img/200808096/200808096_30.jpg,200808096,가네탑골드연질캡슐,타원형,8
/content/drive/MyDrive/img/201205043/201205043_56.jpg,201205043,고운자임맘정,기타,0
/content/drive/MyDrive/img/199802684/199802684_17.jpg,199802684,하이티딘정,원형,5
/content/drive/MyDrive/img/201908441/201908441_54.jpg,201908441,액티바이정,타원형,8
