path,label,label_class
../data/img\200808876/200808876.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_0.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_1.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_10.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_100.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_11.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_12.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_13.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_14.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_15.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_16.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_17.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_18.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_19.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_2.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_20.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_21.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_22.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_23.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_24.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_25.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_26.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_27.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_28.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_29.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_3.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_30.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_31.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_32.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_33.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_34.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_35.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_36.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_37.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_38.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_39.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_4.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_40.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_41.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_42.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_43.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_44.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_45.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_46.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_47.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_48.jpg,가스디알정50밀리그램,0
../data/img\200808876/200808876_49.jpg,가스디알정50밀리그램,0
