path,code,name,shape,color_front,color_back,letter_front,letter_back,colors,큰제품이미지
/content/drive/MyDrive/img_color/201001201/201001201_0.jpg,201001201,카엘정,원형,주황,-,CADAG,분할선,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426479322700055
/content/drive/MyDrive/img_color/201000863/201000863_0.jpg,201000863,루마칼플러스연질캡슐,장방형,검정,-,RMLP,-,검정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725977858300036
/content/drive/MyDrive/img_color/201000674/201000674_0.jpg,201000674,인코라민프리미어정,타원형,갈색,-,ICP,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v0xp
/content/drive/MyDrive/img_color/201000406/201000406_0.jpg,201000406,원더칼-디츄어블정,원형,하양,-,ADCX,-,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_tI6JB9ey
/content/drive/MyDrive/img_color/201000163/201000163_0.jpg,201000163,본에존연질캡슐,장방형,초록,-,BJSI,-,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426467421600098
/content/drive/MyDrive/img_color/200908953/200908953_0.jpg,200908953,셀레트론플러스연질캡슐,장방형,갈색,-,ETXSBT,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MoqTSVEH2A
/content/drive/MyDrive/img_color/200908862/200908862_0.jpg,200908862,아토믹스큐플러스연질캡슐,장방형,갈색,-,D-WAMQ,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000021
/content/drive/MyDrive/img_color/201003043/201003043_0.jpg,201003043,토코엔지연질캡슐,장방형,갈색,-,토코엔지,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426492165100052
/content/drive/MyDrive/img_color/201002190/201002190_0.jpg,201002190,폴원연질캡슐,타원형,빨강,-,폴원,-,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700148
/content/drive/MyDrive/img_color/201002100/201002100_0.jpg,201002100,코큐비타엠정,장방형,갈색,-,M분할선10,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488300030
/content/drive/MyDrive/img_color/201001981/201001981_0.jpg,201001981,큐젠비타정,장방형,갈색,-,SL,SC,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NTjOMJUApt
/content/drive/MyDrive/img_color/201001804/201001804_0.jpg,201001804,프리비정,장방형,노랑,-,HMPB,-,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700075
/content/drive/MyDrive/img_color/201001784/201001784_0.jpg,201001784,비트리모정,원형,분홍,-,FOL,분할선,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700066
/content/drive/MyDrive/img_color/200905053/200905053_0.jpg,200905053,고운자임수정,타원형,분홍,-,QS,CKD,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032682194400137
/content/drive/MyDrive/img_color/200904697/200904697_0.jpg,200904697,리버텍트골드연질캡슐,장방형,초록,-,HKLG,-,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151499405691800068
/content/drive/MyDrive/img_color/200904915/200904915_0.jpg,200904915,하드콜연질캡슐,장방형,주황,-,MMHMC,-,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500195
/content/drive/MyDrive/img_color/200904880/200904880_0.jpg,200904880,멜린씨정,장방형,갈색,-,ETX,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BOx
/content/drive/MyDrive/img_color/200905017/200905017_0.jpg,200905017,이탄탄플러스캡슐,장방형,초록,초록,MTSETTP,-,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500168
/content/drive/MyDrive/img_color/200905423/200905423_0.jpg,200905423,마그롤연질캡슐,장방형,갈색,-,마그롤,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500164
/content/drive/MyDrive/img_color/200905074/200905074_0.jpg,200905074,케라스트캡슐,장방형,초록,노랑,MNTKRT,-,초록/노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv5PQjxq2l
/content/drive/MyDrive/img_color/200905055/200905055_0.jpg,200905055,디퓨텐연질캡슐,타원형,투명,-,디퓨텐,-,투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68Cb
/content/drive/MyDrive/img_color/200904990/200904990_0.jpg,200904990,액티리버골드연질캡슐,장방형,빨강,-,ATL-G,-,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661642891500097
/content/drive/MyDrive/img_color/200905144/200905144_0.jpg,200905144,복합유디리버연질캡슐,타원형,갈색,갈색,복합유디리버,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6S9k
/content/drive/MyDrive/img_color/200905283/200905283_0.jpg,200905283,쎄이네슘연질캡슐,장방형,갈색,-,HMC8,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MucEwTxVkE
/content/drive/MyDrive/img_color/200904666/200904666_0.jpg,200904666,아르텍연질캡슐10mg,타원형,보라,-,아르텍,-,보라,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426433479800028
/content/drive/MyDrive/img_color/200904644/200904644_0.jpg,200904644,콘트라스300연질캡슐,타원형,갈색,-,콘트라스,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F67gX
/content/drive/MyDrive/img_color/200904590/200904590_0.jpg,200904590,토마스연질캡슐,장방형,갈색,-,TOMAS,-,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700186
/content/drive/MyDrive/img_color/200904547/200904547_0.jpg,200904547,헵타마인플러스연질캡슐,타원형,초록,-,헵타마인P,-,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700152
/content/drive/MyDrive/img_color/200904538/200904538_0.jpg,200904538,다비움정,장방형,분홍,-,C분할선S,분할선,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956100025
